gene	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
MMACHC	0.031157228696861473	0.007767817599191662	0.028223061553308136	0.024325224379391552	0.020370817117605258	0.023852498880191326	0.035709276721503896	0.01746157763127903	0.013250256879616501	0.01961090284443636	0.02541320310606808
NQO2	0.02588360624801699	0.016061424754195728	0.026158842422461723	0.012550171967000907	0.020062415269024674	0.037386190055695726	0.05346169877016244	0.021853239102965553	0.00836394597128193	0.03711546016260328	0.012447361931163869
ZNF169	0.024068830958207013	0.018640175269164488	0.0316271128310924	0.028116180275732566	0.017488177012939886	0.017412251116678823	0.03627334711371649	0.011796822401856172	0.024413670700866204	0.023402884315908024	0.019911194810357843
EMSY	0.0261765294528173	0.03040016279549377	0.016972315945971	0.028868542521303497	0.03068667360107218	0.038735286237828	0.012060251248629191	0.0	0.017122616236783243	0.00496348102508382	0.02250105027347337
RPS6KA5	0.028461329104504576	0.01206528688236586	0.03296079614334083	0.020835896646124445	0.015866189511404474	0.025609639171613918	0.025667966334105542	0.023749882635899843	0.015920394728484978	0.024523904408015343	0.02154730100816111
SHF	0.037285079918960795	0.018890156893291717	0.0334429702309936	0.0	0.005413728658529339	0.03715543970480255	0.025855990734842793	0.020369249951477576	0.013689493859923144	0.016052082559627062	0.016795421961527047
CCL4L2	0.03835605301622088	0.009471525174700186	0.039442465607529356	0.004251441629036696	0.02421182000564055	0.0359523006798223	0.005133502270342162	0.03039149236243145	0.01660240255492719	0.0021234204722698708	0.005919137857213466
ZNF385C	0.040622887763331755	0.012601292952636763	0.030250251568293765	0.0	0.02825428608636839	0.023721168446025703	0.014531226135679781	0.017062977011230784	0.022800992408639982	0.014242677660301871	0.010160765337943333
CCL4L2	0.03950920883875452	0.005462824880440046	0.03973159545826648	0.01060592695652086	0.015586668334553916	0.03193670618909453	0.014880909267136493	0.02639125751990574	0.008747099755981452	0.015303071834230892	0.008647066670118194
TNFRSF4	0.019342248630131936	0.02982764128881293	0.008520729984491852	0.02805521810051236	0.0315826194580118	0.005856557337480624	0.015488499583020666	0.025859668298895574	0.031851389437834145	0.03019855033016566	0.03435243686191258
ACAP3	0.01953692446300562	0.0461556253026471	0.002069672067929615	0.015783395331293852	0.029145907306711898	0.008806109274010319	0.021967372254825354	0.011488364342806737	0.037203355449450214	0.036372642214749965	0.028140684411048236
PRKCZ	0.045131076148201305	0.010488742011255298	0.015431034955242858	0.010054529326927554	0.020907581178365	0.03338202093019786	0.0	0.032900073579808876	0.013873722999803125	0.01635990399562904	0.00879157620513026
HES5	0.012136917189672462	0.039928758564443875	0.0	0.0381185713815848	0.009362162946052357	0.015929183968870074	0.03225824022887239	0.019031409708504022	0.039020512620525416	0.04104371231891964	0.040409523854231875
UTS2	0.04079981719891381	0.01403409506616347	0.009115044080002585	0.030449003749825	0.032715913062043266	0.022370663022509493	0.016426026662729954	0.0	0.014256910153398736	0.007449305015239191	0.022206440246158744
UBE4B	0.037549530033423206	0.0200662132844317	0.023504333296567332	0.0	0.02682106710567978	0.017141471055028345	0.01605751821112886	0.015347226424845596	0.029709587284414935	0.02880816674225598	0.008242489239403948
TARDBP	0.008923327666861047	0.03879630591769381	0.019240298095477424	0.015820902759539693	0.04854350683248592	0.0037074060549377153	0.00702779416073008	0.0	0.019907813125990208	0.0684703023733743	0.04382035358602018
MASP2	0.02549448023379917	0.006435803607898717	0.047307545457977156	0.039175821182708494	0.011191492613642886	0.0	0.002092784736522612	0.04437218340120747	0.009410423667161943	0.01819930061400994	0.03230075013890924
EMC1	0.002604089455230235	0.011906765301955433	0.035344100114235166	0.04338412567051861	0.014816541361414646	0.05059647079831237	0.02204873382054455	0.053772031314806366	0.026642094867448948	0.018372447489618072	0.032559425684586814
C1QA	0.017445027264499903	0.025369150930947604	0.0013902644433884147	0.04506994547318067	0.01716620886193493	0.03143338054016889	0.007616626408825789	0.019397725754185843	0.04865602466274736	0.028552475612742084	0.026555853450390424
E2F2	0.033731617959440505	0.02044467743985342	0.007551861770775317	0.011712860610750341	0.04067784275119093	0.01568927301898727	0.018244660430424275	0.03679341307137332	0.019393054768319564	0.010560424705428102	0.021536987524116664
GRHL3	0.035606210590748776	0.02260600927928018	0.004270014333875802	0.01129187169728183	0.031555650369435466	0.011126063827357296	0.007753599304921419	0.0551717094733105	0.029185410305776652	0.012398837283553895	0.011103039472547448
RSRP1	0.006403344367945859	0.04637798534318945	0.00975256266909252	0.03843249173148351	0.0041418427214935565	0.02670160884782026	0.02831906367056997	0.01695647891395763	0.034284858595024566	0.03830882053340723	0.03755889810235402
EXTL1	0.023776041242195872	0.03203976949378072	0.03238502030387865	0.028109597740988295	0.010330941802787399	0.03808448039685262	0.02671452264849788	0.021521802366304046	0.0	0.01227524156724166	0.01397451764346426
CEP85	0.04030314197071335	0.007776780259678943	0.01830640296653424	0.028779627147214187	0.03170998378183187	0.02292853555024915	0.0	0.028005684539556396	0.01341520986528053	0.013970069276652359	0.005637003040563315
SRSF4	0.014981281126121529	0.04413534797942226	0.009442549631390384	0.011584935463202606	0.03647909779503082	0.03455458757813234	0.01080071318845717	0.005214756511445811	0.03706696856756344	0.019762171058686853	0.03499309277726564
MATN1	0.012013283105660183	0.03921899134441588	0.030581400096288763	0.03413471483410613	0.0	0.01759700801656365	0.030859904440200932	0.02816709485917511	0.021717944251226855	0.027060458038043893	0.026425646876380278
TINAGL1	0.01878275620778461	0.03821919730639534	0.01258784947287512	0.036982561243558344	0.010244716464499664	0.013522293365480258	0.04019642705341422	0.02853202838030692	0.0	0.019854886191978942	0.041943339540533066
RNF19B	0.034081560423368934	0.00887772914959071	0.017220882624181685	0.018872756413701758	0.032680371546952386	0.03362123217829654	0.042161238894389316	0.005898870454231111	0.0024748156786196297	0.01911199105263143	0.03078201608958493
ZMYM1	0.03238967173039618	0.021249610373517587	0.0040494515205001715	0.006322071580636088	0.047936514486099514	0.016954436809960317	0.00203802821623804	0.01447263405651487	0.03489644234746743	0.03712231300951519	0.019637561602065395
PSMB2	0.008346340881226582	0.025313369621457468	0.0387935257561634	0.02371716300862518	0.007227011207536359	0.019010181226856316	0.02375380608691882	0.029995170376638767	0.04009746786476134	0.039267830963808925	0.03329072706082065
MEAF6	0.009184869793076917	0.04047176530437967	0.0009392644105528594	0.03792292140263287	0.01739616585192782	0.018436513792765792	0.03837902581874813	0.015253097557422081	0.046239885811174726	0.033477052194022215	0.034692925673690485
SMAP2	0.012350412622779305	0.047969708862627254	0.01094221160695652	0.01511523532042237	0.020276565440781092	0.014251765869617312	0.012876618813675505	0.015969857127815533	0.039269139233398545	0.036219735722968806	0.04166247327643789
ERMAP	0.024477162127178032	0.008790676262003192	0.041097683039406224	0.0372994853646751	0.02978441830103682	0.02203237279527349	0.04931602756346228	0.014273490652873186	0.006356382084434308	0.014386188842679275	0.0065324919899518935
SLC5A9	0.01678286107992308	0.02733393829241329	0.0	0.03413847468790747	0.020774712392359306	0.036790633381729596	0.004751262862693228	0.03178720488871441	0.03822552166688177	0.023459194419657325	0.04056728383780827
AGBL4	0.014002419097781821	0.04961305013974611	0.0	0.018160084967810637	0.03442635846411852	0.024640202011235086	0.014616241637506291	0.014138713569778359	0.031078164427625985	0.02838360820379109	0.03593607568868809
RNF11	0.006614923997485361	0.041419776702659165	0.031153169505251738	0.003185159350277249	0.027795061260533025	0.03928387637073412	0.02255130170344082	0.02229333983654509	0.023338750507602323	0.031219361191453045	0.035447606522121894
PRPF38A	0.008896993746001317	0.03853414569841934	0.007030661391793286	0.016412760019673015	0.0358749665446609	0.0	0.02114437402651641	0.026927966296954254	0.04643232814078207	0.04611456028397065	0.04412514254789018
PODN	0.01674587136791111	0.03654673743074038	0.018143403549570714	0.032967361069362315	0.018037884328120393	0.0002696512601942238	0.05623811131442983	0.01841500231697227	0.02195445913631936	0.02169340225216279	0.029366780538668136
SLC1A7	0.03971242933169135	0.011010785679498853	0.008975550198729036	0.028749322182100613	0.019544669096432727	0.027298401592170833	0.0	0.04759844747958616	0.02163543155611627	0.008906767051010643	0.007060717317137937
TMEM61	0.016322252229157754	0.00984841914394724	0.06698712605642088	0.02375417601311392	0.012538132884669621	0.019167037220148123	0.029837112931783972	0.009883499444695017	0.023305288881785867	0.040374632727091006	0.009611927628415893
USP24	0.03860699941142592	0.0020788982169343473	0.01737148975831185	0.020642735779374585	0.03699977141878942	0.024319763845278407	0.036581126392023634	0.02904198422238289	0.023250458057572247	0.0019951773834456154	0.007059621387055854
PRKAA2	0.03119201980219301	0.0171703414813866	0.0003921962006734288	0.03221611580846895	0.012110242964615232	0.022602289844201824	0.004617833237359762	0.04055614412999179	0.030728675862643273	0.0439441663641223	0.013930425358455994
LEPROT	0.04461152244876653	0.0050537005087157045	0.028505310648601036	0.014059632718274883	0.027426573182585026	0.032445726363148936	0.038847568113925875	0.016225908317253106	0.0	0.002152043195659993	0.00449295940962747
RPE65	0.04233721332172216	0.002230456250125457	0.017325492400399368	0.025770888495892826	0.019807316833818606	0.0551933752760136	0.025879362216810788	0.01650971485391693	0.008846797686871776	0.010303134068767414	0.0
RABGGTB	0.03520561794196239	0.007966718448137592	0.006969515238761769	0.04054216300828325	0.029423151215993246	0.021837439804960862	0.017783313129911316	0.02065705266158657	0.019881875447096905	0.02327463227857339	0.012020186533404342
PALMD	0.03319763744520405	0.006246041230891304	0.019379150408964773	0.04348184128705259	0.024089949738922877	0.00975137401693605	0.0	0.04304938710599889	0.023208904166432006	0.0	0.025195729073518112
GPR88	0.02063825465625927	0.022901132609521608	0.008829697918354498	0.045604014987226014	0.018669151848126547	0.018767591966246753	0.04527774170434214	0.03046261662599173	0.0066551803340897595	0.021041564528530787	0.032820571515407675
ATXN7L2	0.031357321182468534	0.0003781599687594503	0.029864894409477163	0.02747992341784986	0.01966317420425345	0.020704083445852374	0.005074553253465259	0.03283339161266675	0.033803414079657416	0.0	0.0373479641019307
SLC16A4	0.03281089141189849	0.010934820307992395	0.04008215803905923	0.0	0.04878741965210952	0.02410132796535377	0.00536892761575761	0.011284668088164139	0.007169889513208867	0.04254525273088436	0.004007595831393554
PPM1J	0.024493858217454968	0.02527533843021026	0.027921792975459808	0.02681258381782544	0.0	0.016549812839800646	0.006203208618165335	0.024554450419170395	0.03869396257128937	0.02932279591146191	0.021593370222130717
BCL2L15	0.03649182074781422	0.01726858506555651	0.015476186030828253	0.03871103053062074	0.02771405475692407	0.002727304052097316	0.008891546698152498	0.025487602530093193	0.016930396227667593	0.02033796358571176	0.004485503760087724
CSDE1	0.020632186665583266	0.034867947953588975	0.009939846157796124	0.01945342257455652	0.023384788753933412	0.015146154725368342	0.02659176273531558	0.030727066870606418	0.03153185461134289	0.036013514828541704	0.016776936668824793
TSPAN2	0.0371132327063392	0.01636717310190086	0.01051007432999284	0.02543203210921782	0.028242096436842848	0.004240353050160044	0.037811392002590816	0.0	0.023645247258486952	0.0027362646089148296	0.04014547857884264
WDR3	0.028887756019221018	0.02615281432331339	0.03712826438465134	0.001098120973590574	0.01304586127901373	0.020978648269710964	0.01579092077748459	0.014487057308741535	0.011734259289741575	0.044097679089705244	0.02044089979936487
SEC22B	0.03667366368027586	0.02524827887993754	0.01774423639826253	0.00967234198478977	0.01662474518258985	0.025403640236525846	0.04649984254911412	0.015498338449091594	0.030365676727449865	0.007955582022057801	0.0
FAM72C	0.02510267773225929	0.01766379681592413	0.05027842662638376	0.016604043902682587	0.0254517960031748	0.0	0.01876225627703901	0.026022879607495553	0.0	0.04789748026773956	0.013152791846757897
SRGAP2B	0.03610514805467146	0.007298670768445423	0.020675709748075716	0.014235645134582819	0.033505999475572264	0.015426616577358207	0.030202681666686933	0.03985951252591873	0.023131849913691823	0.022038092205401393	0.00011097650289187192
NBPF20	0.01660660005925637	0.041838162972247746	0.013799789645054506	0.009018346137492762	0.020045340484050638	0.025478499887492265	0.016025456101040607	0.011232271421764917	0.03261126911330388	0.04000424997223549	0.036425801360216996
ADAMTSL4	0.0	0.03097006917818675	0.021689522547706244	0.038913782957584624	0.009139461762783843	0.0	0.03732820820521911	0.039450767826460356	0.04517717212027318	0.04080254325819719	0.05686150783528028
SELENBP1	0.029916471221655708	0.027233781545217196	0.0	0.021379380579687066	0.013663050537548757	0.012125403181351926	0.02372882176771194	0.02951876892784894	0.04356865246031906	0.02739667853666322	0.025022978710334785
OAZ3	0.011246600720884872	0.05103566164540232	0.0	0.024447010844202727	0.017037974231058302	0.010324299714228066	0.015454979412245056	0.02191855212194896	0.0504961926706511	0.03235867750840175	0.039441177485794926
C2CD4D	0.03443249917493001	0.0008222273350137574	0.026747855671788397	0.019665001454337663	0.03740794473556165	0.03089347426895632	0.022210989608831416	0.04464412739978894	0.0	0.01765989806336105	0.00953890231706124
PYGO2	0.0035064757007241838	0.04658488768592424	0.026180213693132934	0.02098115654443605	0.008069481141043174	0.015955930481665038	0.035605945633177885	0.02314163657199889	0.041751864000248586	0.03582071960627343	0.035837612545394394
LMNA	0.02808071989558562	0.03142103547830667	0.00047447252413882943	0.02143056490759493	0.031922837352692864	0.06146542183960948	0.01973739763410378	0.0	0.015769603275212353	0.017402889732249564	0.014823323583129756
DCAF8	0.006388116881665851	0.03309679065569327	0.030728559974304324	0.02703371759879405	0.02154700926824105	0.0036573582217472394	0.043292914939753666	0.01362175792112995	0.04088627456732989	0.018118313039331372	0.05052684804490367
CREG1	0.04542566347956215	0.0075349036753706005	0.015970852830359764	0.024484843189815895	0.010223702419859888	0.03945041530856379	0.02002523380650986	0.013637617128892613	0.02183054110243972	0.011635575063324752	0.0
RCSD1	0.03140349558954184	0.0	0.04528741577529881	0.04393925113529872	0.014775186477758913	0.012662205269340494	0.011507926149538114	0.03207645739578331	0.018544488752603352	0.0011539824383405555	0.016621214052564583
SUCO	0.040872978723538636	0.021485568605920685	0.01509382362206782	0.010794884197813173	0.027220339977208408	0.03595234647868414	0.0003975826892036724	0.021251821304824583	0.014600931609034112	0.008975198643412466	0.007493525261037095
ASTN1	0.011405241433036803	0.038400381651226036	0.0	0.030187228148113747	0.02201755812645354	0.010953366793292884	0.018223786335585183	0.0	0.06284625932221714	0.03740032266099007	0.05072000297793453
RASAL2	0.007841162453220134	0.04346974346508065	0.02841441814935353	0.0304120050054137	0.014315467617013541	0.011628919242647825	0.014772017809081335	0.01126582263292745	0.025469389021728742	0.04145070382668698	0.038753345593062115
FAM20B	0.012992428129289179	0.014262632837751121	0.05921618053915755	0.04572623152540438	0.004431288114150114	0.0	0.023621514593391263	0.031916111984918234	0.03360556889238797	0.02007339716953091	0.01673035889452517
CACNA1E	0.004569424521908176	0.0428950131753331	0.024659360378561937	0.015134508268217568	0.024857250937386662	0.026377026491259406	0.034777383826077535	0.030197054183247272	0.025157525724671923	0.051734969102338456	0.018000701206478863
NCF2	0.005119414413404729	0.038298622694924726	0.021393718149750995	0.021033629051093527	0.021991551368039257	0.045339638578968014	0.042712160987715485	0.022189540539382515	0.039382801306202024	0.028581142053352975	0.01567193694921103
TPR	0.011569721300890116	0.039539982301988116	0.013581474693792303	0.037306087105232894	0.011762294765776405	0.02208991989183947	0.0	0.023961223742628532	0.01614424353951075	0.03223907013417185	0.055178838450324535
PTGS2	0.04370641279465763	0.011318224489231796	0.009990729188926854	0.02254632899692998	0.033506079081736403	0.030320048897296403	0.0	0.023276311873029983	0.004084783814837195	0.015724686734168707	0.010917222898808511
